page_name,page_id,party,source,disclaimer,amount_spent_eur,number_of_ads_in_library,party1,party2,path,date_produced,spend,remove_em
NA,102368056133655,GroenLinks,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
NA,108991395339466,PvdD,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
NA,1986808398204909,CDA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
SGP Utrechtse Heuvelrug,510879102598586,SGP,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
SGP Utrechtse Heuvelrug,673294653100165,SGP,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
PvdA Waalwijk,108781350908437,PvdA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Raoul Boucke,1378051212479416,D66,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
PvdA Het Hogeland,1663807260315461,PvdA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
PvdA Goes,1412530858983763,PvdA,yo,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
VVD Maasland,1743766155846128,VVD,yo,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
PvdA Nijmegen,1393529407559073,PvdA,yo,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
D66 Goes,1750415495212074,D66,yo,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Forum voor Democratie Zeeland,1631684917126244,FvD,yo,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Partij voor de Dieren Almere,1746352698711497,PvdD,yo,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
PvdA Stichtse Vecht,1715340175444649,PvdA,yo,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
SGP Urk,1475272182780528,SGP,yo,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
VVD Wormerland,1196350273823975,VVD,yo,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
FVD Amsterdam,1519997944789254,FvD,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
JFVD,1310158545730624,FvD,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
GroenLinks Aa en Hunze,1940934655935968,GroenLinks,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
GroenLinks Helmond,1411283215766694,GroenLinks,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Kim van Sparrentak,2326697260991619,GroenLinks,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
GroenLinks Midden-Groningen,1745762299021142,GroenLinks,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
GroenLinks Overbetuwe,1166808893329408,GroenLinks,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
DENK,1550088745275913,DENK,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Lelystad SGP,1502902726692279,SGP,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
PVV Stichtse Vecht,1967914100151475,PVV,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
PVV Sittard-Geleen,1263240523724892,PVV,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Meerssense VVD,1160701620720058,VVD,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
VVD Westerkwartier,1011775145585656,VVD,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
VVD Gemert-Bakel,1228215290628525,VVD,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Rudmer Heerema,1839041743042729,VVD,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
VVD Waterschap Limburg,1563699950578926,VVD,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
De Deurnese VVD,1422274718011012,VVD,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
VVD Altena,1543542572602854,VVD,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
VVD Rhenen,1788767758074479,VVD,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
ChristenUnie Molenlanden,1938971373084052,ChristenUnie,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Joël Voordewind,1142077739171588,ChristenUnie,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
ChristenUnie Hoeksche Waard,1000182456818319,ChristenUnie,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Christenunie Hardenberg,1407071029524552,ChristenUnie,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
50plus Tilburg,1069373879746516,50PLUS,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
SP Haarlem,1441662002729821,SP,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
D66 Aalten-Dinxperlo,1248801595203744,D66,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
D66 Noord-Beveland,1729913110668532,D66,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
D66 Soest-Soesterberg,1129208503774916,D66,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
D66 Beekdaelen,1970145503263766,D66,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Harry van der Molen,1598361623791979,CDA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Michel Rog,1701977273392331,CDA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
CDA Harderwijk Hierden,1595248250741419,CDA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
CDA Heemskerk,1512067898874085,CDA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Wopke Hoekstra,2018408465106868,CDA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Joba van den Berg,1844392342447692,CDA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Maurits von Martels CDA,1727815447535716,CDA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
CDA Smallingerland,1787602688161421,CDA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Mustafa Amhaouch,1862580210628899,CDA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
CDA Zuid-Holland,1523833891223465,CDA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
CDA Ermelo,1417520661873955,CDA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
CDA Zaanstad,1557210341199535,CDA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Raymond Knops,1705660683039799,CDA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
CDA Ommen,1107043432765171,CDA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
René Peters,1791229601140644,CDA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
PvdA Winterswijk,1393972554182063,PvdA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
PvdA Vlaardingen,1383104228576987,PvdA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
PvdA Valkenswaard,1422889834673368,PvdA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Partij van de Arbeid PvdA Midden-Groningen,1510532972292654,PvdA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
PvdA Tilburg,1389317844656912,PvdA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Pvda Lingewaard,1380763172182215,PvdA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
PvdA Noordoostpolder,1218520171552619,PvdA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Bas van 't Wout,100124381382350,VVD,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Gijs van Dijk,100291500469490,PvdA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Eppo Bruins,100321288229672,ChristenUnie,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
SP Amsterdam,100345376686972,SP,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Dordtse VVD,101039903379008,VVD,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Daan Versteeg,1010657719133320,CDA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Partij voor de Dieren,102287806490622,PvdD,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Politieke Partij Delta,102505038393058,Politieke Partij Delta,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Harmen Krul,102702261651304,CDA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
PvdA Zwolle,102760393111399,PvdA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
GO Realisme & Daadkracht,103244341131787,GO,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Maik Barten - Raadslid VVD Geldrop-Mierlo,103278663447730,VVD,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
GroenLinks Oirschot,103360741627020,GroenLinks,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Nieuwe Democratie,103365881571818,Nieuwe Democratie,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Wethouder Cees Pille,103992696348691,VVD,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Vera Tax,104024417686758,PvdA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Thierry Aartsen,1041897309271360,VVD,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Jelle Beemsterboer,105422274685438,CDA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Ja21,106020448037192,Ja21,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Marco Eestermans PvdA,106235381376023,PvdA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
CDJA Duin- en Bollenstreek,107407420701832,CDA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
VVD Gulpen-Wittem,107610150609555,VVD,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
ChristenUnie Urk,107794439556152,ChristenUnie,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
DENK Den Haag,108120604060106,DENK,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Eveline Tijmstra,108130921151383,CDA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Bert-Jan Ruissen,108597633942628,SGP,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Burger Belangen Nederland,109233967233458,Burger Belangen Nederland,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Sabine Koebrugge,109868597382077,VVD,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Politiek Op Maat,110211433868259,Politiek Op Maat,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Volt Deventer,110753764083012,Volt Nederland,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Michiel Dijkman Kamerlid Kandidaat #38,111134424085540,CDA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
GroenLinks Zuid-Holland,111881632210618,GroenLinks,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Jonge Socialisten in de PvdA,112246298811452,PvdA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Liane den Haan,1122985514429410,50PLUS,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Omdat ik het verdien,112341377212761,PvdA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Arne Weverling,112714980596832,VVD,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Partij van de Arbeid (PvdA),113895885305052,PvdA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
VVD IJsselstein,114055275385794,VVD,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
De Haagse VVD,114631488645360,VVD,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
VVD Renswoude,115029341980720,VVD,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
PvdA Roosendaal,115241245317898,PvdA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
GroenLinks Rotterdam,116050085145365,GroenLinks,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Carla Dik-Faber,1169104093164170,ChristenUnie,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
VVD Vught-Helvoirt-Cromvoirt,117095328492297,VVD,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
VVD Halderberge,117128052210675,VVD,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
VVD Lokaal Netwerk Brussel,117346168281139,VVD,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
D66 Woerden,117481438306203,D66,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
SP Kerkrade,120767601437627,SP,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
SP Zutphen/Warnsveld,1207987872568660,SP,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
VVD,121264564551002,VVD,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Burgemeester Han van Midden,122476232484830,VVD,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Partij voor de Dieren Den Haag,122589134531844,PvdD,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
VVD Venlo,123074804424518,VVD,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
PvdA Brabant,123604241074923,PvdA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
D66 Enschede,123661660977745,D66,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Klaas Dijkhoff,124282324250399,VVD,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Bert Veenstra - aspirant kandidaat voor Partij van de Arbeid,1245849062154550,PvdA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
SP Groningen,125382950819455,SP,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Libertaire Partij - LP,125663380814227,Libertaire Partij,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
JOVD Eindhoven,128111953937914,VVD,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
SP,128393027527,SP,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
De Utrechtse VVD,128640250574683,VVD,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Partij voor de Dieren Zeeland,129568950441577,PvdD,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
D66 Eemsdelta,130487254323668,D66,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
D66 's-Hertogenbosch,131158970298702,D66,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Daniel Koerhuis,1312513348824130,VVD,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
GroenLinks Den Haag,133610523380150,GroenLinks,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
CDA Terneuzen,134845486657988,CDA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
SGP-jongeren,134898129893433,SGP,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
CDA Katwijk,135376383177889,CDA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Arnout van den Bosch - Raadslid PvdA Amstelveen,135501903830947,PvdA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"CDJA, CDA-jongeren",135642563196256,CDA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
VVD Harderwijk-Hierden,135925936464418,VVD,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
SP Rotterdam,136653320218,SP,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
D66 Lingewaard,1377280262539840,D66,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Agnes Mulder,138208102983774,CDA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Thom de Vries D66,138401470173379,D66,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
JOVD Amsterdam e.o.,140197449380734,VVD,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Pvda Rijswijk,140205082843346,PvdA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
GroenLinks Alkmaar,1414350562183210,GroenLinks,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
NIDA,1438054859744080,NIDA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
JOVD Utrecht e.o.,143965825711068,VVD,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Wethouder Robert van Asten,1440785062866880,D66,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
PvdA Amersfoort,144728552295443,PvdA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
VVD Leiden,145751698819583,VVD,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Volt Nederland,146644665960101,Volt Nederland,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Jos van Ginneken,146649939174312,CDA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
D66 Zeeland,146790238829202,D66,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
D66 Leiden,147722648491,D66,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Gert-Jan Segers,147772805659767,ChristenUnie,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
VVD Heemskerk,148005128902583,VVD,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Ingrid van Wifferen,148530589219712,D66,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
CDA Sint-Michielsgestel,151541561675000,CDA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
SGP Goeree-Overflakkee,151766691678928,SGP,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
De Amsterdamse VVD,152313778157632,VVD,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Wetenschappelijk Instituut ChristenUnie,152432188110990,ChristenUnie,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
GroenLinks Berg en Dal,153189941370381,GroenLinks,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Jonge Democraten,153357044722038,D66,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
D66 Overijssel,153430294762818,D66,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Partij voor de Dieren Noord-Brabant,153434794680208,PvdD,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
De Rotterdamse VVD,154456451319810,VVD,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Groenlinks Schagen,154736434721703,GroenLinks,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Wethouder Klaas Valkering,1555448837895990,CDA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
D66 Den Haag,155758593317,D66,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
CDA Provincie Utrecht,1559225897625340,CDA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
VVD Oisterwijk,155956504541781,VVD,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
PVV Lelystad,156993281594555,PVV,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
VVD Gennep,157342181127991,VVD,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Wiardi Beckman Stichting,157600177601312,PvdA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
ChristenUnie Zeeland,157671251089913,ChristenUnie,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
D66 Haarlemmermeer,160222337386850,D66,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Michael Kalthoff,160231627962186,D66,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
VVD Olst-Wijhe,160488060781842,VVD,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
VVD Zoetermeer,162212757160066,VVD,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Jonge Democraten Amsterdam,163556367006942,D66,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Marie-José de Bruijn Raadslid Gemeente Beek,1662148977224700,CDA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
SP Winterswijk,166722416859309,SP,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
D66Velsen,167333296705784,D66,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
VVD Helmond,167597420073347,VVD,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Piratenpartij Utrecht - PPU,167833720446018,Piratenpartij,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
GroenLinks Dordrecht,168582430001649,GroenLinks,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
VVD Haarlem,169065999840857,VVD,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
ChristenUnie Rijssen-Holten,169693763207431,ChristenUnie,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
VVD Bunnik,169783746552665,VVD,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
PvdA Amsterdam,170060616402275,PvdA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Koggenlandse VVD,170320339747730,VVD,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Rotterdam BIJ1,170469190212212,BIJ1,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
D66 Delft,171999852960244,D66,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Liberale Partij Maastricht,1725464544369370,Libertaire Partij,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Jolanda van Gool PvdA073,1734008883285300,PvdA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Malik Azmani,1734459723547460,VVD,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
GroenLinks Edam-Volendam,174522982750697,GroenLinks,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Alkmaarse VVD,174727955895958,VVD,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Arjan de Vries,174891033059631,PvdA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Marius Wiegman,175250373219599,VVD,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
CDA Den Haag,175658419295023,CDA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
GroenLinks,175740570505,GroenLinks,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Burgemeester Michiel Pijl,1771461669799660,CDA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
GroenLinks Veenendaal,180322962326,GroenLinks,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Partij voor de Dieren Alkmaar,1803486813232260,PvdD,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Jonge Democraten Leiden - Haaglanden (JD),180992861938464,D66,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
GroenLinks Groningen,181031342395,GroenLinks,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
VVD-Woudenberg,183495805173455,VVD,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Almeerse VVD,183538275059926,VVD,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
CDA Hoeksche Waard,184189882389473,CDA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
PVV Hengelo,185988911871870,PVV,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
D66 Almere,186370224739032,D66,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Pvda Beesel-Reuver,186407568165708,PvdA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
VVD Zwartewaterland,187680031329594,VVD,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Pvda Hof van Twente,187885148045634,PvdA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
David Bosch - PVV Utrecht,190051308416101,PVV,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
PINK Limburg,1901080366774590,PvdD,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
PvdA Haarlemmermeer,190173454467936,PvdA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
PvdA Den Haag,190869220945975,PvdA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
DWARS Wageningen Oud/Inactief,192028604154756,GroenLinks,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
CDA Harlingen,192600774817587,CDA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Jan Hopstaken Raadslid,192705081300674,PvdA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
CDA Neder-Betuwe,193223164173865,CDA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
VVD Zwolle,194216524014233,VVD,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Bossche VVD,194900893890599,VVD,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
CDA Urk,195220513824326,CDA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
CDA Woudenberg,196310430554710,CDA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
VVD De Bilt,196419123885680,VVD,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
